10:58:55:337 -> 
10:58:55:337 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:58:55:537 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:58:55:737 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:58:55:938 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:58:56:137 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:58:56:337 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:58:56:537 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:58:56:737 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:58:56:937 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:58:57:137 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:58:57:337 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:58:57:537 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
